last_name,first_name,davenport_id,mlb_id,retrosheet_id,lahman_id,bbref_id,bats,throws
Goebel,Ed,GOEBEL18990901A,114884,goebe101,goebeed01,goebeed01,R,R
Goebbert,Jake,GOEBBERT19870924A,572876,goebj001,goebbja01,goebbja01,L,L
Goeckel,Billy,GOECKEL18710903A,114885,goecb101,goeckbi01,goeckbi01,R,L
Goeddel,Erik,GOEDDEL19881220A,592340,goede001,goedder01,goedder01,R,R
Goetz,George,GOETZ00000000A,114886,goetg101,goetzge01,goetzge01,,
Goetz,John,GOETZ19371024A,114887,goetj101,goetzjo01,goetzjo01,R,R
Goff,Jerry,GOFF19640000A,114888,goffj001,goffje01,goffje01,L,R
Goggin,Chuck,GOGGIN19450707A,114889,goggc101,goggich01,goggich01,B,R
Gogolewski,Bill,GOGOLEWSK19471026A,114890,gogob101,gogolbi01,gogolbi01,L,R
Gohr,Greg,GOHR19680000A,114891,gohrg001,gohrgr01,gohrgr01,R,R
Goins,Ryan,GOINS19880213A,572365,goinr001,goinsry01,goinsry01,L,R
Goldsmith,Fred,GOLDSMITH18560515A,114898,goldf101,goldsfr01,goldsfr01,R,R
Goldsberry,Gordon,GOLDSBERR19270830A,114896,goldg101,goldsgo01,goldsgo01,L,L
Goldsmith,Hal,GOLDSMITH18980818A,114899,goldh101,goldsha01,goldsha01,R,R
Goldstein,Izzy,GOLDSTEIN19080606A,114901,goldi101,goldsiz01,goldsiz01,B,R
Goldman,Jonah,GOLDMAN19060829A,114895,goldj101,goldmjo01,goldmjo01,R,R
Golden,Jim,GOLDEN19360320A,114892,goldj102,goldeji01,goldeji01,L,R
Goldstein,Lonnie,GOLDSTEIN19180513A,114902,goldl101,goldslo01,goldslo01,L,L
Golden,Mike,GOLDEN18510911A,114893,goldm101,goldemi01,goldemi01,R,R
Goldschmidt,Paul,GOLDSCHMI19870910A,502671,goldp001,goldspa01,goldspa01,R,R
Goldy,Purnal,GOLDY19371128A,114903,goldp101,goldypu01,goldypu01,R,R
Golden,Roy,GOLDEN18880712A,114894,goldr101,goldero01,goldero01,R,R
Goldsmith,Wally,GOLDSMITH18490000A,114900,goldw101,goldswa01,goldswa01,,
Goldsby,Walt,GOLDSBY18611231A,114897,goldw102,goldswa02,goldswa02,L,
Goletz,Stan,GOLETZ19180521A,114904,goles101,goletst01,goletst01,L,L
Goliat,Mike,GOLIAT19251105A,114905,golim101,goliami01,goliami01,R,R
Golson,Greg,GOLSON19850917A,449172,golsg001,golsogr01,golsogr01,R,R
Goltz,Dave,GOLTZ19490623A,114906,goltd101,goltzda01,goltzda01,R,R
Golvin,Walt,GOLVIN18940201A,114907,golvw101,golviwa01,golviwa01,L,L
Gomez,Alexis,GOMEZ19800806A,346796,gomea001,gomezal01,gomezal01,L,L
Gomes,Brandon,GOMES19840715A,460156,gomeb001,gomesbr01,gomesbr01,R,R
Gomez,Chris,GOMEZ19710616A,114909,gomec001,gomezch02,gomezch02,R,R
Gomez,Carlos,GOMEZ19811204A,460576,gomec002,gomezca01,gomezca01,R,R
Gomez,Chile,GOMEZ19090523A,114910,gomec101,gomezch01,gomezch01,R,R
Gomez,Hector,GOMEZ19880305A,467143,gomeh001,gomezhe01,gomezhe01,R,R
Gomes,Jonny,GOMES19801122A,430404,gomej001,gomesjo01,gomesjo01,R,R
