Run Date,Event,Gender,Rk,Bib Number,Run,Country Code,Name,Start Time (Rk),Interval 1 Time (Rk),Interval 2 Time (Rk),Interval 3 Time (Rk),Sp (km/h),Speed (mph),Finish Time (Rk),Time Behind,Total Run Time,Medal
2/10/2018,Olympic Games - Pyeongchang,M,36,40,2,KAZ,KOPYRENKO Nikita,2.794 40,15.502 38,28.221 38,38.778 38,117.8,73.2,50.327 38,+2.702,2:29.718,0
2/11/2018,Olympic Games - Pyeongchang,M,36,40,3,KAZ,KOPYRENKO Nikita,2.793 40,15.464 39,28.002 35,38.162 36,115.8,71.9,49.244 34,+1.710,2:29.718,0
2/10/2018,Olympic Games - Pyeongchang,M,37,28,1,BUL,ANGELOV Pavel,2.761 39,15.896 38,29.201 37,39.861 37,120,74.5,51.569 37,+3.917,2:31.112,0
2/10/2018,Olympic Games - Pyeongchang,M,37,28,2,BUL,ANGELOV Pavel,2.761 39,15.525 39,28.139 37,38.222 37,130.7,81.2,49.449 36,+1.824,2:31.112,0
2/11/2018,Olympic Games - Pyeongchang,M,37,28,3,BUL,ANGELOV Pavel,2.756 39,15.620 40,28.399 40,38.625 39,128,79.5,50.094 39,+2.560,2:31.112,0
2/10/2018,Olympic Games - Pyeongchang,M,38,38,1,TPE,LIEN Te-An,2.679 36,15.620 36,28.878 36,39.98 38,115.8,71.9,52.121 39,+4.469,2:34.138,0
2/10/2018,Olympic Games - Pyeongchang,M,38,38,2,TPE,LIEN Te-An,2.679 35,15.450 37,28.378 39,38.964 39,,,51.472 39,+3.847,2:34.138,0
2/11/2018,Olympic Games - Pyeongchang,M,38,38,3,TPE,LIEN Te-An,2.685 35,15.400 36,28.081 37,38.679 40,114.4,71.1,50.545 40,+3.011,2:34.138,0
2/10/2018,Olympic Games - Pyeongchang,M,39,30,1,SLO,SIRSE Tilen,2.675 35,15.487 35,28.348 34,38.54 35,119.2,74,49.887,+2.235,2:38.309,0
2/10/2018,Olympic Games - Pyeongchang,M,39,30,2,SLO,SIRSE Tilen,2.721 38,16.627 40,34.942 40,46.568 40,104.9,65.2,58.776,+11.151,2:38.309,0
2/11/2018,Olympic Games - Pyeongchang,M,39,30,3,SLO,SIRSE Tilen,2.714 38,15.455 37,28.086 38,38.292 37,127.9,79.5,49.646,+2.112,2:38.309,0
2/10/2018,Olympic Games - Pyeongchang,F,1,6,1,GER,GEISENBERGER Natalie,4.334 4,16.337 2,24.259 2,34.95 1,113.5,70.5,46.245 1,0,3:05.232,1
